Country_Name,Country_Code,Employment,Life_Expectancy,TFR
Africa Eastern and Southern,AFE,21.70781754,65.83294435,4.420263916
Afghanistan,AFG,7.8699998860000004,66.026,4.473
Africa Western and Central,AFW,12.76731212,58.85923898,5.113002617
Angola,AGO,12.72000027,63.666,5.519
Albania,ALB,47.02000046,80.167,1.617
Arab World,ARB,66.55065087,73.66367514,3.231001101
United Arab Emirates,ARE,96.26000214,79.164,1.413
Argentina,ARG,77.43000031,79.863,2.261
Armenia,ARM,68.15000153,78.354,1.755
Australia,AUS,88.02999878,84.9,1.74
Austria,AUT,90.58999634,84.1,1.47
Azerbaijan,AZE,26.93000031,75.336,1.73
Burundi,BDI,10.03999996,63.031,5.41
Belgium,BEL,89.29000092,83.9,1.62
Benin,BEN,5.679999828,63.003,4.836
Burkina Faso,BFA,10.94999981,61.863,5.189
Bangladesh,BGD,32.61000061,74.291,2.036
Bulgaria,BGR,91.40000153,78.6,1.56
Bahrain,BHR,96.94999695,78.285,1.987
"Bahamas, The",BHS,93.18000031,75.911,1.752
Bosnia and Herzegovina,BIH,78.90000153,79.72,1.265
Belarus,BLR,97.23000336,79.4,1.448
Belize,BLZ,67.04000092,77.666,2.307
Bolivia,BOL,27.75,74.209,2.73
Brazil,BRA,72.95999908,79.362,1.73
Barbados,BRB,87.77999878,80.392,1.619
Brunei Darussalam,BRN,91.48000336,76.96,1.848
Bhutan,BTN,16.27000046,71.816,1.975
Botswana,BWA,74.12000275,72.049,2.874
Central African Republic,CAF,3.160000086,54.991,4.721
Canada,CAN,87.87999725,84.2,1.4988
Central Europe and the Baltics,CEB,85.39140042,80.782109,1.574609117
Switzerland,CHE,87.37999725,85.7,1.52
Channel Islands,CHI,85.27999878,84.798,1.51
Chile,CHL,74.41999817,82.381,1.649
China,CHN,53.20999908,79.051,1.69
Cote d'Ivoire,CIV,17.75,58.741,4.649
Cameroon,CMR,16.28000069,60.192,4.572
"Congo, Dem. Rep.",COD,10.97999954,61.901,5.919
"Congo, Rep.",COG,8.510000229,65.703,4.428
Colombia,COL,50.99000168,79.859,1.807
Comoros,COM,30.97999954,65.9,4.205
Cabo Verde,CPV,66.91999817,76.007,2.274
Costa Rica,CRI,77.02999878,82.73,1.754
Caribbean small states,CSS,75.14868701,75.90319066,1.995134386
Cuba,CUB,87.27999878,80.706,1.618
Cyprus,CYP,89.87000275,82.913,1.329
Czech Republic,CZE,87.58999634,82.0,1.71
Germany,DEU,92.70999908,83.3,1.57
Djibouti,DJI,57.49000168,68.778,2.728
